correlation,cpu_duration,gpu_duration,launch_delay
8369,3.0,3.0,3.0
8379,2.0,2.0,4.0
8392,3.0,0.0,4.0
8404,2.0,0.0,4.0
8420,2.0,1.0,4.0
8452,3.0,0.0,4.0
8464,3.0,2.0,3.0
8480,2.0,0.0,4.0
8494,2.0,0.0,4.0
8512,3.0,0.0,4.0
8541,3.0,3.0,3.0
8551,3.0,2.0,3.0
8561,3.0,2.0,3.0
8583,4.0,0.0,3.0
8597,4.0,1.0,3.0
8608,3.0,0.0,3.0
8626,3.0,0.0,3.0
8637,3.0,0.0,4.0
8648,3.0,0.0,3.0
8659,3.0,0.0,4.0
8667,4.0,2.0,3.0
8677,3.0,2.0,4.0
8691,4.0,1.0,3.0
8703,3.0,0.0,4.0
8715,5.0,1.0,3.0
8726,3.0,1.0,3.0
8734,5.0,2.0,2.0
8744,3.0,3.0,4.0
8757,3.0,0.0,3.0
8769,4.0,0.0,3.0
8785,3.0,2.0,3.0
8817,3.0,0.0,3.0
8829,2.0,1.0,4.0
8845,3.0,0.0,3.0
8859,3.0,0.0,3.0
8877,4.0,1.0,3.0
8906,4.0,3.0,3.0
8916,2.0,2.0,4.0
8926,4.0,2.0,3.0
8948,3.0,1.0,3.0
8962,3.0,1.0,4.0
8973,2.0,0.0,4.0
8991,3.0,0.0,3.0
9002,3.0,0.0,4.0
9013,3.0,0.0,3.0
9024,3.0,0.0,3.0
9032,4.0,2.0,3.0
9042,3.0,3.0,3.0
9056,3.0,0.0,4.0
9068,3.0,1.0,3.0
9080,3.0,0.0,4.0
9091,3.0,0.0,3.0
9099,3.0,3.0,3.0
9109,3.0,2.0,4.0
9122,3.0,0.0,3.0
9134,5.0,0.0,2.0
9150,4.0,1.0,3.0
9182,3.0,0.0,4.0
9194,3.0,2.0,3.0
9210,3.0,1.0,3.0
9224,3.0,1.0,3.0
9242,3.0,1.0,3.0
9271,4.0,3.0,3.0
9281,3.0,2.0,4.0
9291,2.0,2.0,4.0
9313,3.0,1.0,3.0
9327,3.0,1.0,3.0
9338,3.0,1.0,3.0
9356,3.0,0.0,3.0
9367,2.0,0.0,4.0
9378,2.0,0.0,4.0
9389,3.0,1.0,3.0
9397,3.0,2.0,3.0
9407,2.0,2.0,4.0
9421,3.0,0.0,3.0
9433,4.0,0.0,4.0
9445,3.0,0.0,4.0
9456,2.0,0.0,4.0
9464,3.0,3.0,3.0
9474,4.0,2.0,3.0
9487,4.0,0.0,4.0
9499,3.0,0.0,3.0
9515,3.0,2.0,3.0
9547,4.0,0.0,3.0
9559,8.0,2.0,3.0
9575,3.0,1.0,3.0
9589,3.0,1.0,3.0
9607,4.0,0.0,3.0
9636,3.0,2.0,3.0
9646,3.0,2.0,4.0
9656,5.0,3.0,3.0
9678,4.0,1.0,3.0
9692,3.0,2.0,3.0
9703,3.0,0.0,3.0
9721,4.0,0.0,3.0
9732,3.0,0.0,4.0
9743,4.0,0.0,3.0
