correlation,cpu_duration,gpu_duration,launch_delay
14749,17.0,105.0,0.0
14759,8.0,2.0,40.0
14771,38.0,0.0,2.0
14783,25.0,0.0,1.0
14797,8.0,0.0,2.0
14812,4.0,0.0,3.0
14832,8.0,105.0,2.0
14842,5.0,2.0,78.0
14870,18.0,0.0,0.0
14891,7.0,-1.0,2.0
14895,26.0,3.0,0.0
14907,13.0,0.0,2.0
14909,2.0,0.0,3.0
14917,10.0,2.0,1.0
14921,5.0,0.0,3.0
14925,11.0,1.0,2.0
14927,3.0,11.0,3.0
14931,4.0,0.0,9.0
14933,3.0,11.0,6.0
14937,4.0,0.0,13.0
14939,2.0,8.0,11.0
14943,3.0,0.0,15.0
14945,3.0,8.0,12.0
14951,4.0,2.0,14.0
14953,2.0,2.0,14.0
14955,4.0,2.0,13.0
14957,7.0,0.0,9.0
14971,10.0,0.0,2.0
14985,17.0,41.0,0.0
15000,15.0,1.0,1.0
15028,24.0,121.0,1.0
15062,15.0,1.0,81030.0
15077,5.0,0.0,81004.0
15092,3.0,198.0,80987.0
15116,11.0,1.0,80874.0
15127,6.0,23.0,80904.0
15141,3.0,0.0,80896.0
15156,3.0,1.0,80877.0
15179,5.0,0.0,80808.0
15190,4.0,10.0,80794.0
15204,4.0,0.0,80777.0
15219,3.0,1.0,80762.0
15232,5.0,1.0,80706.0
15249,3.0,0.0,80667.0
15264,10.0,1.0,80421.0
15278,7.0,0.0,80263.0
15293,4.0,1.0,80242.0
15309,6.0,24.0,80175.0
15319,4.0,9.0,80175.0
15330,4.0,5.0,80152.0
15359,5.0,11.0,80086.0
15373,5.0,0.0,80017.0
15388,2.0,1.0,79999.0
15408,5.0,1.0,79941.0
15419,6.0,8.0,79914.0
15429,3.0,3.0,79902.0
15440,6.0,1.0,79830.0
15469,4.0,4.0,79788.0
15483,5.0,0.0,79753.0
15498,4.0,1.0,79736.0
15522,8.0,1.0,79490.0
15533,5.0,7.0,79460.0
15543,3.0,2.0,79445.0
15554,4.0,0.0,79407.0
15583,5.0,3.0,79362.0
15597,5.0,1.0,79288.0
15612,3.0,0.0,79271.0
15632,12.0,1.0,79224.0
15645,8.0,6.0,79181.0
15655,4.0,1.0,79168.0
15666,4.0,1.0,79146.0
15680,13.0,0.0,79070.0
15695,4.0,1.0,79047.0
15715,3.0,1.0,79011.0
15726,4.0,13.0,78991.0
15736,3.0,2.0,78987.0
15747,4.0,0.0,78942.0
15761,6.0,2.0,78859.0
15792,8.0,1.0,78624.0
15800,5.0,2.0,78615.0
15805,4.0,1.0,78609.0
15820,4.0,0.0,78553.0
